ID,Código,Descrição,Unidade,NCM,Preço de compra final,Situação,Estoque,Preço de custo,Fornecedor,Estoque minimo,Largura do Produto,Altura do Produto,Profundidade do produto,Código Pai,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Frete Grátis,Número FCI,Unidade de medida
16465709340,	,CRIADO MUDO APOLO MOVELIPE,UN,,199,Ativo,0,117,MOVELIPE,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16465712992,	,CRIADO MUDO APOLO MOVELIPE COR:CASTANHO/AVELÃ/OFF FLEX,UN,,199,Ativo,-1,117,MOVELIPE,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16465712969,	,CRIADO MUDO APOLO MOVELIPE COR:FREIJO,UN,,199,Ativo,1,117,MOVELIPE,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16464081530,	,CRIADO MUDO AROMA 1G,UN,,199,Ativo,0,"111,3",FIORELLO,0,0.00,0.00,0.00,	,,FIORELLO,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16464081581,	,CRIADO MUDO AROMA 1G COR:BRANCO,UN,,199,Ativo,10,"111,3",FIORELLO,0,0.00,0.00,0.00,	,,FIORELLO,,0,,0,	,,0,SIM,NÃO,,Centímetro
16464081552,	,CRIADO MUDO AROMA 1G COR:PRETO,UN,,199,Ativo,5,"111,3",FIORELLO,0,0.00,0.00,0.00,	,,FIORELLO,,0,,0,	,,0,SIM,NÃO,,Centímetro
16463945161,	,CRIADO MUDO AROMA 2G,UN,,199,Ativo,0,"122,67",FIORELLO,0,0.00,0.00,0.00,	,,FIORELLO,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16463947784,	,CRIADO MUDO AROMA 2G COR:BRANCO,UN,,199,Ativo,10,"122,67",FIORELLO,0,0.00,0.00,0.00,	,,FIORELLO,,0,,0,	,,0,SIM,NÃO,,Centímetro
16463947767,	,CRIADO MUDO AROMA 2G COR:PRETO,UN,,199,Ativo,7,"122,67",FIORELLO,0,0.00,0.00,0.00,	,,FIORELLO,,0,,0,	,,0,SIM,NÃO,,Centímetro
16572956248,634,CRIADO MUDO MILÃO MOPAR,UN,,249,Ativo,0,"95,28",MOPAR,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16572956808,635,COR:FREIJO/OFF WHITE,UN,,249,Ativo,-1,"95,28",MOPAR,0,0.00,0.00,0.00,634,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16475319543,101,Cristaleira Hb Moveis Aura 2pt 1gv C/Led,UN,,800,Ativo,-2,0,salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16532653283,539,Dormitorio Casal Santos Andira Lugano 7pt 2gv Esp,un,,"1.599,00",Ativo,0,"664,29",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16604862727,732,ESCRIVANINHA DEMOBILE VITORIA 1PT 1g SALVADOS,UN,,249,Ativo,-1,"49,21",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16466259665,	,ESCRIVANINHA PENTE PLAY,UN,,349,Ativo,0,"197,24",MOBLER,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16466259924,	,ESCRIVANINHA PENTE PLAY COR:BRANCO,UN,,349,Ativo,0,"197,24",MOBLER,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
16511749141,440,ESCRIVANINHA PENTEADEIRA MONALISA NEW,UN,,549,Ativo,0,294,FIORELLO,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16511751967,441,COR:BRANCO BRILHO,UN,,549,Ativo,5,294,FIORELLO,0,0.00,0.00,0.00,440,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
